DATE,A191RP1Q027SBEA
1947-04-01,4.7
1947-07-01,6.0
1947-10-01,17.3
1948-01-01,9.6
1948-04-01,10.7
1948-07-01,10.1
1948-10-01,1.7
1949-01-01,-7.4
1949-04-01,-5.2
1949-07-01,2.3
1949-10-01,-3.3
1950-01-01,16
1950-04-01,14.3
1950-07-01,26.8
1950-10-01,16.2
1951-01-01,21.6
1951-04-01,10
1951-07-01,8.8
1951-10-01,5.6
1952-01-01,4.2
1952-04-01,1.4
1952-07-01,7.6
1952-10-01,15.0
1953-01-01,7.7
1953-04-01,3.9
1953-07-01,-0.6
1953-10-01,-5.2
1954-01-01,-0.6
1954-04-01,0.8
1954-07-01,5.1
1954-10-01,9.2
1955-01-01,14.0
1955-04-01,8.4
1955-07-01,8.5
1955-10-01,6.5
1956-01-01,2.5
1956-04-01,5.8
1956-07-01,4.7
1956-10-01,8.5
1957-01-01,8.3
1957-04-01,1.9
1957-07-01,6.5
1957-10-01,-3.8
1958-01-01,-6
1958-04-01,3.9
1958-07-01,12.3
1958-10-01,11.8
1959-01-01,8.9
1959-04-01,10.0
1959-07-01,1.8
1959-10-01,2.7
1960-01-01,11.1
1960-04-01,-1.2
1960-07-01,3.4
1960-10-01,-3.9
1961-01-01,3.6
1961-04-01,8.0
1961-07-01,9.0
1961-10-01,9.4
1962-01-01,9.6
1962-04-01,4.3
1962-07-01,5.9
1962-10-01,2.2
1963-01-01,6.3
1963-04-01,5.3
1963-07-01,9.7
1963-10-01,6.0
1964-01-01,10.1
1964-04-01,5.4
1964-07-01,8.1
1964-10-01,3.1
1965-01-01,12.3
1965-04-01,7.1
1965-07-01,10.9
1965-10-01,12.6
1966-01-01,13.0
1966-04-01,4.7
1966-07-01,7.5
1966-10-01,6.8
1967-01-01,5.3
1967-04-01,2.3
1967-07-01,7.9
1967-10-01,7.7
1968-01-01,13.3
1968-04-01,11.4
1968-07-01,7.2
1968-10-01,7.4
1969-01-01,10.9
1969-04-01,6.5
1969-07-01,8.6
1969-10-01,3.2
1970-01-01,5.1
1970-04-01,6.3
1970-07-01,7.2
1970-10-01,0.9
1971-01-01,18.2
1971-04-01,7.7
1971-07-01,7.6
1971-10-01,4.4
1972-01-01,14.3
1972-04-01,12.1
1972-07-01,7.9
1972-10-01,12.4
1973-01-01,15.4
1973-04-01,11.0
1973-07-01,5.8
1973-10-01,12.4
1974-01-01,4.1
1974-04-01,10.8
1974-07-01,8.1
1974-10-01,10.6
1975-01-01,4.2
1975-04-01,9.1
1975-07-01,14.8
1975-10-01,12.7
1976-01-01,14
1976-04-01,7.2
1976-07-01,7.6
1976-10-01,10.5
1977-01-01,11.7
1977-04-01,14.2
1977-07-01,12.7
1977-10-01,8.9
1978-01-01,7.3
